Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, DET, Without English Proficiency, Without GRE, Without GMAT, Scholarship Available",Bachelor of Laws LLB (Hons) (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTI0MTI3&year=2026,University of Hertfordshire,24 Month(s),Sep,,"assignment_turned_in
MOI Acceptable, paid
Scholarship Available, mintmark
Low Tuition Deposit","76 in US News Ranking, 59 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",LLB Common Law (Graduate Entry),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTQyNDgx&year=2026,University of Glasgow,24 Month(s),Sep,,"workspace_premium
Russel Group Universities (UK), mintmark
Low Tuition Deposit, voice_over_off
No Interview Required","7 in US News Ranking, 78 in QS World Ranking, 11 in Webometrics Ranking of United Kingdom National",,GBP 28.95
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, DET, Without English Proficiency, Without GRE, Without GMAT, Scholarship Available",LLB Law Accelerated Programme,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUyNzY4&year=2026,University of Southampton,24 Month(s),Sep,,"workspace_premium
Russel Group Universities (UK), assignment_turned_in
MOI Acceptable, mintmark
Low Tuition Deposit","14 in US News Ranking, 80 in QS World Ranking, 23 in Webometrics Ranking of United Kingdom National",,GBP 28.95
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, DET, Without English Proficiency, Without GRE, Without GMAT, Scholarship Available",LLB Law Accelerated Programme JD Pathway,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUyNzY5&year=2026,University of Southampton,24 Month(s),Sep,,"workspace_premium
Russel Group Universities (UK), assignment_turned_in
MOI Acceptable, mintmark
Low Tuition Deposit","14 in US News Ranking, 80 in QS World Ranking, 23 in Webometrics Ranking of United Kingdom National",,GBP 28.95
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",LLB (Hons) Law Senior Status,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NzYxOTM=&year=2026,Queen Mary University of London,24 Month(s),Sep,,"workspace_premium
Russel Group Universities (UK), dictionary
English Proficiency Exam Waiver, mintmark
Low Tuition Deposit","9 in US News Ranking, 120 in QS World Ranking, 16 in Webometrics Ranking of United Kingdom National",,GBP 28.95
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available, With 15 Years of Education",Graduate Entry Law LLB,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1MjY4&year=2026,"City St George's, University of London",24 Month(s),Sep,,"attractions
Major City, mintmark
Low Tuition Deposit, voice_over_off
No Interview Required","66 in US News Ranking, 352 in QS World Ranking, 48 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),Education,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BA(Hons) Primary Education Studies (Non QTS Accelerated Degree),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTQzOTMw&year=2026,University of Huddersfield,24 Month(s),Sep,,"speed
Faster Offer TAT, savings
Affordable University, voice_over_off
No Interview Required","76 in US News Ranking, 63 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),Computer Science and Information Technology,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Scholarship Available",BSc (Hons) Cloud Computing (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc1NzQ4&year=2026,CU (Coventry),24 Month(s),"Sep, Nov, Mar, Jun, May",Jan,"how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver, savings
Affordable University","72 in US News Ranking, 51 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Scholarship Available",BA (Hons) Business Management (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTE4ODAz&year=2026,Nottingham Trent University,36 Month(s),Sep,,"dictionary
English Proficiency Exam Waiver, assignment
Uni has own English Test, voice_over_off
No Interview Required","45 in US News Ranking, 47 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),Health,"IELTS, Without GRE, Without GMAT, Without Maths",Occupational Therapy (Pre-Registration) MSc (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTMwNzM4&year=2026,University of Brighton,24 Month(s),Sep,,"speed
Faster Offer TAT, paid
Scholarship Available, mintmark
Low Tuition Deposit","67 in US News Ranking, 64 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),Education,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BA (Hons)Primary Education (Accelerated Degree),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MzQ1OTE=&year=2026,Leeds Beckett University,24 Month(s),Aug,,"speed
Faster Offer TAT, dictionary
English Proficiency Exam Waiver, savings
Affordable University","89 in US News Ranking, 87 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),Education,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Scholarship Available",BA (Hons) Primary Education Studies (2 Years Accelarated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc0ODQ4&year=2026,"Anglia Ruskin University, Peterborough",24 Month(s),Sep,,"speed
Faster Offer TAT, assignment
Uni has own English Test, dictionary
English Proficiency Exam Waiver","54 in US News Ranking, 76 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),Education,"IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BA (Hons) Primary Education Studies (2 years accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTczMjY2&year=2026,"Anglia Ruskin University, Cambridge",24 Month(s),Sep,,"speed
Faster Offer TAT, assignment
Uni has own English Test, dictionary
English Proficiency Exam Waiver","54 in US News Ranking, 76 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),Education,"IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BA (Hons) Primary Education Studies (2 years accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTcyOTMz&year=2026,"Anglia Ruskin University, Chelmsford",24 Month(s),Sep,,"speed
Faster Offer TAT, assignment
Uni has own English Test, dictionary
English Proficiency Exam Waiver","54 in US News Ranking, 76 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BSc (Hons) Business Management (2 years accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTczMTQ3&year=2026,"Anglia Ruskin University, Cambridge",24 Month(s),Sep,,"speed
Faster Offer TAT, assignment
Uni has own English Test, dictionary
English Proficiency Exam Waiver","54 in US News Ranking, 76 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BSc (Hons) Business with Entrepreneurship (2 years accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTczMDMw&year=2026,"Anglia Ruskin University, Cambridge",24 Month(s),Sep,,"speed
Faster Offer TAT, assignment
Uni has own English Test, dictionary
English Proficiency Exam Waiver","54 in US News Ranking, 76 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BSc (Hons) Business with Events Management (2 years accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTczMTUy&year=2026,"Anglia Ruskin University, Cambridge",24 Month(s),Sep,,"speed
Faster Offer TAT, assignment
Uni has own English Test, dictionary
English Proficiency Exam Waiver","54 in US News Ranking, 76 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BSc (Hons) Business with Marketing (2 years accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTczMTU3&year=2026,"Anglia Ruskin University, Cambridge",24 Month(s),Sep,,"speed
Faster Offer TAT, assignment
Uni has own English Test, dictionary
English Proficiency Exam Waiver","54 in US News Ranking, 76 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BSc (Hons) Business with Tourism Management (2 years accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTczMTU4&year=2026,"Anglia Ruskin University, Cambridge",24 Month(s),Sep,,"speed
Faster Offer TAT, assignment
Uni has own English Test, dictionary
English Proficiency Exam Waiver","54 in US News Ranking, 76 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BSc (Hons) International Business Management (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTczMDkx&year=2026,"Anglia Ruskin University, Cambridge",24 Month(s),Sep,,"speed
Faster Offer TAT, assignment
Uni has own English Test, dictionary
English Proficiency Exam Waiver","54 in US News Ranking, 76 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",LLB (Hons) Law Accelerated Route,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NjI3NTQ=&year=2026,University of South Wales,24 Month(s),Sep,,"speed
Faster Offer TAT, dictionary
English Proficiency Exam Waiver, restore_page
Higher Backlog Acceptance","90 in US News Ranking, 99 in Webometrics Ranking of United Kingdom National",,No application fee
UG + PG (Accelerated Degree),Arts,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BA (Hons) Liberal Arts (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjA5MDY5&year=2026,"St. Mary's University Twickenham, London",24 Month(s),Sep,,"assignment
Uni has own English Test, paid
Scholarship Available, assignment_turned_in
MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,,No application fee
UG + PG (Accelerated Degree),Personal Services,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Without Maths, Scholarship Available",BSc (Hons) Sports Performance Analysis and Talent Identification,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NjAx&year=2026,"St. Mary's University Twickenham, London",24 Month(s),,Sep,"assignment
Uni has own English Test, paid
Scholarship Available, assignment_turned_in
MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,,No application fee
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Scholarship Available",LLB Law (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY3NjE3&year=2026,University of Law (Birmingham),24 Month(s),Sep,,"assignment
Uni has own English Test, paid
Scholarship Available, assignment_turned_in
MOI Acceptable",154 in Webometrics Ranking of United Kingdom National,,No application fee
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Scholarship Available",LLB Law (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY3NzA2&year=2026,University of Law (Manchester),24 Month(s),Sep,,"assignment
Uni has own English Test, paid
Scholarship Available, assignment_turned_in
MOI Acceptable",154 in Webometrics Ranking of United Kingdom National,,No application fee
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Scholarship Available",LLB Law (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY3ODYy&year=2026,University of Law (Leeds),24 Month(s),Sep,,"assignment
Uni has own English Test, paid
Scholarship Available, assignment_turned_in
MOI Acceptable",154 in Webometrics Ranking of United Kingdom National,,No application fee
UG + PG (Accelerated Degree),Law,"PTE, TOEFL iBT, IELTS, Without English Proficiency, Without GRE, Without GMAT, Scholarship Available",LLB Law (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY3OTE4&year=2026,"University of Law (London, Bloomsbury)",24 Month(s),Sep,,"assignment
Uni has own English Test, paid
Scholarship Available, assignment_turned_in
MOI Acceptable",154 in Webometrics Ranking of United Kingdom National,,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","IELTS, Without GRE, Without GMAT, Without Maths, Application Fee Waiver (upto 100%)",BSc (Hons) Accounting and Finance (accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTE1Njg0&year=2026,BPP University,24 Month(s),,"Sep, Jan","dictionary
English Proficiency Exam Waiver, savings
Affordable University, assignment_turned_in
MOI Acceptable",160 in Webometrics Ranking of United Kingdom National,,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BA) Hons Accounting and Business Management (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUwMjY4&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BA) Hons Accounting and Financial Management (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUwMjY5&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BA) Hons Business Management (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUwMjcw&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),Education,"PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BA) Hons Physical Education (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUwMjc0&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),"Commerce, Business and Administration","PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Without Maths, Scholarship Available",(BA) Hons Sports Events Management (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY2NjU3&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),Personal Services,"PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BA) Hons Sports Journalism (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUwMjc2&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),Personal Services,"PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BA) Hons Sports Management (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUwMjc3&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),Personal Services,"PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BA) Hons Sports Media and Communications (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUwMjc4&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),Computer Science and Information Technology,"PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BSc) Hons Computer Science (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUwMjcx&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),Computer Science and Information Technology,"PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BSc) Hons Cyber Security (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTcwOTUx&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),"Health, Personal Services","PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)","(BSc) Hons Health, Exercise and Sport (Accelerated)",https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTcwOTYz&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),Personal Services,"PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BSc) Hons Sports and Exercise Science (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTUwMjc1&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
UG + PG (Accelerated Degree),Personal Services,"PTE, TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",(BSc) Hons Sports Coaching (Accelerated),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTcwOTU3&year=2026,(NAVITAS) University Academy 92,24 Month(s),"Sep, Jan, Apr",,"speed
Faster Offer TAT, how_to_reg
High Offer Acceptance Rate, dictionary
English Proficiency Exam Waiver",,,No application fee
PhD,,,PhD Materials Science and Engineering,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc5Mjgz&year=2026,Sheffield Hallam University,48 Month(s),"Oct, Feb, May",,"paid
Scholarship Available, dictionary
English Proficiency Exam Waiver, mintmark
Low Tuition Deposit","82 in US News Ranking, 67 in Webometrics Ranking of United Kingdom National",,No application fee
PhD,,,PhD Media and Communications,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTgwMDc5&year=2026,Sheffield Hallam University,48 Month(s),"Oct, Feb, May",,"paid
Scholarship Available, dictionary
English Proficiency Exam Waiver, mintmark
Low Tuition Deposit","82 in US News Ranking, 67 in Webometrics Ranking of United Kingdom National",,No application fee
PhD,,,"PhD Sheffield Business School (Management, Finance, Service Sector)",https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjA4NTcw&year=2026,Sheffield Hallam University,48 Month(s),"Oct, Feb, May",,"paid
Scholarship Available, dictionary
English Proficiency Exam Waiver, mintmark
Low Tuition Deposit","82 in US News Ranking, 67 in Webometrics Ranking of United Kingdom National",,No application fee
PhD,,,Clinical MD Professional Doctorate in General Internal Medicine,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTcxMDkw&year=2026,University of Hertfordshire,27 Month(s),Sep,,"assignment_turned_in
MOI Acceptable, paid
Scholarship Available, mintmark
Low Tuition Deposit","76 in US News Ranking, 59 in Webometrics Ranking of United Kingdom National",,No application fee
PhD,,,PhD Accounting and Finance,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTYxMTQw&year=2026,University of Bristol,48 Month(s),Sep,,"workspace_premium
Russel Group Universities (UK), assignment_turned_in
MOI Acceptable, voice_over_off
No Interview Required","11 in US News Ranking, 54 in QS World Ranking, 12 in Webometrics Ranking of United Kingdom National",,No application fee
PhD,,,PhD Aerospace Engineering,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTcyNjQ4&year=2026,University of Bristol,48 Month(s),Sep,,"workspace_premium
Russel Group Universities (UK), assignment_turned_in
MOI Acceptable, voice_over_off
No Interview Required","11 in US News Ranking, 54 in QS World Ranking, 12 in Webometrics Ranking of United Kingdom National",,No application fee
PhD,,,PhD Cellular and Molecular Medicine,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTU2Njk0&year=2026,University of Bristol,48 Month(s),Sep,,"workspace_premium
Russel Group Universities (UK), assignment_turned_in
MOI Acceptable, voice_over_off
No Interview Required","11 in US News Ranking, 54 in QS World Ranking, 12 in Webometrics Ranking of United Kingdom National",,No application fee
PhD,,,PhD Chemistry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTU5Njk2&year=2026,University of Bristol,48 Month(s),Sep,,"workspace_premium
Russel Group Universities (UK), assignment_turned_in
MOI Acceptable, voice_over_off
No Interview Required","11 in US News Ranking, 54 in QS World Ranking, 12 in Webometrics Ranking of United Kingdom National",,No application fee
PhD,,,PhD Civil Engineering,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTU5Njk4&year=2026,University of Bristol,48 Month(s),Sep,,"workspace_premium
Russel Group Universities (UK), assignment_turned_in
MOI Acceptable, voice_over_off
No Interview Required","11 in US News Ranking, 54 in QS World Ranking, 12 in Webometrics Ranking of United Kingdom National",,No application fee
PhD,,,PhD Computer Science,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTU5Njk5&year=2026,University of Bristol,48 Month(s),Sep,,"workspace_premium
Russel Group Universities (UK), assignment_turned_in
MOI Acceptable, voice_over_off
No Interview Required","11 in US News Ranking, 54 in QS World Ranking, 12 in Webometrics Ranking of United Kingdom National",,No application fee
